database;class;sequence id;length (aa);HCA score;% strong hydrophobic;sequence coverage by foldable segment;number of removed aa
SCOPe;c;d2ouda1;168;1.29;0.38;0.92;0
SCOPe;c;d3us3a2;102;0.61;0.33;0.94;0
SCOPe;c;d1un2a_;195;2.08;0.35;0.87;0
SCOPe;c;d2a4ha1;117;-1.04;0.31;0.77;0
SCOPe;c;d2ls5a1;148;2.37;0.39;0.99;0
SCOPe;c;d3cxga1;113;2.38;0.41;0.96;0
SCOPe;c;d1qmha1;95;0.99;0.32;0.92;0
SCOPe;c;d1sx5a_;244;0.46;0.35;0.98;0
SCOPe;c;d1sa3a_;262;0.38;0.32;0.92;0
SCOPe;c;d1dzfa1;139;1.22;0.36;0.96;0
SCOPe;c;d1nbwa3;202;0.40;0.35;0.95;0
SCOPe;c;d2nrha1;81;2.78;0.43;1.00;0
SCOPe;c;d4htla2;172;1.05;0.36;0.98;0
SCOPe;c;d3r6ma2;105;-2.24;0.30;0.62;0
SCOPe;c;d1ex4a2;167;0.98;0.32;0.96;0
SCOPe;c;d4krea3;282;-0.71;0.34;0.80;0
SCOPe;c;d2wfba1;117;-1.37;0.30;0.71;0
SCOPe;c;d1vixa1;294;0.20;0.34;0.98;0
SCOPe;c;d1jeya2;220;-0.69;0.35;0.75;0
SCOPe;c;d5epea_;248;0.51;0.34;0.99;0
SCOPe;c;d2eg5a_;354;1.92;0.39;0.96;0
SCOPe;c;d1lk9a_;425;0.18;0.36;0.91;0
SCOPe;c;d3tzta1;273;2.24;0.40;1.00;0
SCOPe;c;d1uwca1;260;-0.82;0.32;0.90;0
SCOPe;c;d2gzsa_;265;0.43;0.32;0.86;0
SCOPe;c;d5h3ha_;268;0.87;0.35;0.99;0
SCOPe;c;d3qyja_;291;0.96;0.36;1.00;0
SCOPe;c;d1v19a_;302;0.39;0.35;0.94;0
SCOPe;c;d5tqia1;286;1.07;0.33;1.00;0
SCOPe;c;d3m7va1;282;1.01;0.32;0.85;0
SCOPe;c;d3knza1;321;-0.74;0.35;0.93;0
SCOPe;c;d2iw1a_;370;0.12;0.34;0.92;0
SCOPe;c;d1pq4a_;289;-1.05;0.29;0.85;0
SCOPe;c;d1jx6a_;338;0.44;0.33;0.93;0
SCOPe;b;d2je8a4;192;0.61;0.38;0.97;0
SCOPe;b;d1o59a1;187;-0.20;0.35;0.86;0
SCOPe;b;d1flca1;156;0.95;0.38;0.99;0
SCOPe;b;d2bzva1;159;-0.71;0.35;0.97;0
SCOPe;b;d1x1ia2;118;-1.73;0.27;0.83;0
SCOPe;b;d1o4ya_;270;-1.41;0.31;0.76;0
SCOPe;b;d3uv9a1;182;-0.64;0.40;0.81;0
SCOPe;b;d1h54a2;268;1.88;0.34;0.89;0
SCOPe;b;d1riea_;127;-1.22;0.35;0.83;0
SCOPe;b;d2dxua2;47;4.60;0.43;0.98;0
SCOPe;b;d1k9aa1;71;-5.14;0.30;0.39;0
SCOPe;b;d2j05a_;64;3.53;0.39;0.94;0
SCOPe;b;d3s6wa_;54;2.07;0.43;0.81;0
SCOPe;b;d1r4ka_;168;0.01;0.35;0.80;0
SCOPe;b;d2opga1;92;-1.49;0.33;0.91;0
SCOPe;b;d4eo1a_;67;-3.75;0.31;0.49;0
SCOPe;b;d4emha_;60;2.42;0.40;0.95;0
SCOPe;b;d1prtd_;110;0.31;0.39;0.91;0
SCOPe;b;d1jjcb3;113;-0.11;0.33;0.94;0
SCOPe;b;d1g6pa_;66;0.45;0.33;0.98;0
SCOPe;b;d3bzca4;94;2.68;0.38;0.89;0
SCOPe;b;d1yeza1;68;0.65;0.38;0.76;0
SCOPe;b;d6aqga1;145;-0.06;0.32;0.88;0
SCOPe;b;d2f4ia1;176;3.15;0.41;0.97;0
SCOPe;b;d1n4ka2;200;-2.60;0.31;0.87;0
SCOPe;b;d1g7sa2;128;-0.14;0.32;0.90;0
SCOPe;c;d1k6da_;219;0.91;0.36;0.89;0
SCOPe;c;d3boja2;196;-1.35;0.33;0.80;0
SCOPe;d;d1jtma_;178;0.24;0.34;0.99;0
SCOPe;d;d2p82a1;334;1.04;0.38;0.83;0
SCOPe;d;d2mp1a_;77;-1.23;0.35;0.75;0
SCOPe;d;d2wp8b1;150;0.85;0.34;0.87;0
SCOPe;d;d1v86a1;82;1.02;0.34;0.94;0
SCOPe;d;d2kfja1;83;2.70;0.42;0.99;0
SCOPe;d;d5io9a1;97;2.11;0.36;0.97;0
SCOPe;d;d1vg0a2;113;0.45;0.37;0.94;0
SCOPe;d;d4lzia3;97;2.46;0.37;0.92;0
SCOPe;d;d3ebta1;131;-0.45;0.33;0.98;0
SCOPe;d;d3ejva1;159;0.13;0.35;0.81;0
SCOPe;d;d1sqwa2;94;1.57;0.39;0.84;0
SCOPe;d;d3dbxa1;181;1.94;0.40;0.92;0
SCOPe;d;d1xuba1;128;0.19;0.34;0.99;0
SCOPe;d;d2c21a1;139;1.71;0.38;0.84;0
SCOPe;d;d1pn2a1;148;-1.93;0.34;0.89;0
SCOPe;d;d2owna1;147;-0.21;0.37;0.88;0
SCOPe;d;d2qwza1;138;0.51;0.36;0.99;0
SCOPe;d;d1uila1;100;1.33;0.33;0.94;0
SCOPe;d;d1dq3a2;79;1.90;0.35;0.96;0
SCOPe;d;d2ctea1;81;-3.86;0.25;0.90;0
SCOPe;d;d2asba3;67;-0.52;0.30;0.85;0
SCOPe;d;d1h98a_;77;0.05;0.42;0.97;0
SCOPe;d;d1jqga2;92;2.71;0.37;0.84;0
SCOPe;d;d1tuwa_;106;1.44;0.36;0.96;0
SCOPe;d;d3lo3a1;91;2.26;0.34;0.97;0
SCOPe;d;d2ad9a1;98;-1.97;0.33;0.72;0
SCOPe;d;d1sxla_;97;-0.88;0.29;0.94;0
SCOPe;c;d3rfoa1;204;-0.27;0.37;0.91;0
SCOPe;c;d2c7pa_;327;1.45;0.36;0.99;0
SCOPe;c;d1ve3a1;226;2.40;0.41;0.98;0
SCOPe;c;d2oo3a1;271;1.54;0.39;0.96;0
SCOPe;c;d2fnua_;373;0.88;0.36;0.89;0
SCOPe;c;d3fdba1;376;-0.23;0.35;0.99;0
SCOPe;c;d5i90a_;390;0.82;0.33;0.98;0
SCOPe;c;d3hbxa_;437;2.12;0.38;0.95;0
SCOPe;c;d1omza_;265;0.87;0.39;0.97;0
SCOPe;c;d3groa_;277;2.05;0.38;0.89;0
SCOPe;c;d3qmma_;179;-0.54;0.34;0.83;0
SCOPe;c;d1q0ra_;297;-0.76;0.30;0.89;0
SCOPe;c;d3vcoa1;181;3.75;0.41;0.99;0
SCOPe;c;d3drwa1;450;1.97;0.37;0.98;0
SCOPe;c;d3ewma1;302;1.01;0.38;0.91;0
SCOPe;c;d1e5xa_;477;0.88;0.35;0.94;0
SCOPe;c;d5jn5a2;113;1.69;0.36;1.00;0
SCOPe;c;d3c48a1;418;-0.68;0.31;0.97;0
SCOPe;c;d5bq3a_;313;-1.64;0.31;0.86;0
SCOPe;c;d3gyba_;269;-0.83;0.33;0.84;0
SCOPe;c;d5f7va_;390;-0.70;0.30;0.87;0
SCOPe;c;d3sqza2;221;2.08;0.38;1.00;0
SCOPe;c;d1vq2a_;193;-1.12;0.33;0.96;0
SCOPe;c;d4f3wa_;119;-0.39;0.36;0.97;0
SCOPe;c;d2vg0a_;227;0.91;0.34;0.96;0
SCOPe;c;d3u26a1;225;1.80;0.37;1.00;0
SCOPe;c;d1wr8a_;230;-0.23;0.35;0.88;0
SCOPe;c;d2cn1a1;273;2.91;0.40;0.99;0
SCOPe;c;d2qyha_;256;1.47;0.37;0.99;0
SCOPe;c;d3l7ya_;267;0.37;0.35;0.91;0
SCOPe;c;d1ngva_;529;0.23;0.35;0.99;0
SCOPe;c;d2gaxa1;135;-0.20;0.35;0.79;0
SCOPe;d;d1rjta_;73;-1.97;0.37;0.59;0
SCOPe;d;d1zxta1;67;-2.04;0.36;0.94;0
SCOPe;d;d2oika1;139;0.02;0.35;0.75;0
SCOPe;d;d2dy1a3;115;1.40;0.31;0.95;0
SCOPe;c;d1e94e1;442;-0.48;0.31;0.90;0
SCOPe;c;d1ofux_;119;-1.71;0.32;0.78;0
SCOPe;c;d2ax4a_;198;-0.42;0.33;0.76;0
SCOPe;c;d4hdra_;339;2.21;0.35;0.99;0
SCOPe;c;d1nm8a1;372;0.37;0.36;0.92;0
SCOPe;c;d1fpza_;176;4.01;0.39;0.99;0
SCOPe;c;d2y96a_;175;0.71;0.37;0.93;0
SCOPe;c;d1uara2;141;-0.50;0.33;0.79;0
SCOPe;c;d2b5ea1;140;-2.14;0.34;0.79;0
SCOPe;c;d1g7ea_;122;0.83;0.38;0.93;0
SCOPe;c;d1e0ta3;117;-0.05;0.33;1.00;0
SCOPe;c;d1m0da_;129;-2.22;0.33;0.96;0
SCOPe;c;d3teoa_;202;-0.22;0.37;0.82;0
SCOPe;c;d2hoea2;169;4.81;0.41;0.96;0
SCOPe;c;d1vrta1;110;-2.81;0.32;0.67;0
SCOPe;c;d1yvua4;219;2.89;0.41;1.00;0
SCOPe;c;d2j01s1;86;1.50;0.31;0.91;0
SCOPe;c;d3si2a_;327;0.45;0.35;0.94;0
SCOPe;c;d3p2oa1;119;0.21;0.37;0.94;0
SCOPe;c;d1ck4a_;193;0.77;0.35;0.90;0
SCOPe;c;d1uira_;312;0.09;0.38;0.91;0
SCOPe;c;d2jg3a1;221;0.97;0.39;0.90;0
SCOPe;c;d1y8ca_;246;3.00;0.40;0.99;0
SCOPe;c;d1s4na_;339;1.37;0.37;0.93;0
SCOPe;c;d1hlga_;371;1.19;0.39;0.98;0
SCOPe;c;d3dkra_;241;-0.38;0.35;0.86;0
SCOPe;c;d2phpa1;180;3.11;0.39;0.97;0
SCOPe;c;d5c3ua_;315;0.61;0.37;0.99;0
SCOPe;c;d5dzsa2;169;2.44;0.41;0.99;0
SCOPe;c;d1n4wa1;367;0.35;0.35;0.98;0
SCOPe;c;d2cc0a1;192;-1.73;0.28;0.79;0
SCOPe;c;d2f3oa_;773;1.81;0.36;0.97;0
SCOPe;c;d1a6db2;152;0.22;0.34;0.86;0
SCOPe;c;d2astb2;284;4.17;0.39;1.00;0
SCOPe;d;d1s28a1;128;4.34;0.41;0.99;0
SCOPe;d;d1k0ra4;99;0.37;0.29;0.96;0
SCOPe;d;d1n11a_;408;-1.70;0.31;0.98;0
SCOPe;d;d5d66a1;96;-4.21;0.31;0.88;0
SCOPe;d;d2pbea2;134;0.39;0.40;0.96;0
SCOPe;d;d3rq7a1;128;0.22;0.37;0.74;0
SCOPe;d;d1ss6a1;100;-3.48;0.26;0.74;0
SCOPe;d;d1r9fa1;122;1.11;0.33;0.97;0
SCOPe;d;d1v9ka_;227;0.28;0.32;0.98;0
SCOPe;d;d4ok9a_;146;1.03;0.34;0.98;0
SCOPe;d;d1yf2a1;220;0.29;0.35;0.96;0
SCOPe;d;d1ydla1;66;2.44;0.42;0.92;0
SCOPe;d;d2e50a1;222;-1.54;0.27;0.73;0
SCOPe;d;d2i52a1;119;2.99;0.39;0.95;0
SCOPe;d;d2h7aa1;108;-1.36;0.34;0.81;0
SCOPe;d;d5culb_;79;-0.78;0.35;0.95;0
SCOPe;a;d2wtga_;158;-0.68;0.35;0.72;0
SCOPe;a;d1n4ca1;178;-1.57;0.28;0.81;0
SCOPe;a;d3l70d1;195;-0.70;0.32;0.87;0
SCOPe;a;d2d0wa_;168;-1.61;0.29;0.85;0
SCOPe;a;d1s7ea1;50;1.56;0.34;0.90;0
SCOPe;a;d1du6a1;57;-0.82;0.30;0.79;0
SCOPe;a;d2ezha_;65;0.29;0.32;0.85;0
SCOPe;a;d2hyja1;75;-0.93;0.28;0.63;0
SCOPe;a;d2cuja1;101;-0.26;0.34;0.97;0
SCOPe;a;d2ld5a_;67;-3.81;0.27;0.48;0
SCOPe;a;d1xmka1;73;0.18;0.34;0.99;0
SCOPe;a;d1xgsa1;77;3.22;0.43;0.97;0
SCOPe;a;d1mzba_;134;-0.86;0.37;0.89;0
SCOPe;a;d1xb4a2;76;0.11;0.41;0.74;0
SCOPe;a;d1yyva1;114;2.26;0.36;0.88;0
SCOPe;a;d4raya1;134;-0.69;0.31;0.78;0
SCOPe;a;d4lmya_;149;1.92;0.38;0.97;0
SCOPe;a;d1g1xc_;53;-1.45;0.34;0.55;0
SCOPe;a;d1r71a_;114;-0.19;0.30;0.95;0
SCOPe;a;d4un2b1;42;3.57;0.31;0.90;0
SCOPe;a;d2crua1;105;-1.41;0.26;0.73;0
SCOPe;a;d2vz4a_;105;1.92;0.31;0.98;0
SCOPe;a;d1i6za1;130;2.15;0.35;0.98;0
SCOPe;a;d1xdpa1;105;2.20;0.35;0.92;0
SCOPe;a;d1xvha3;69;-4.59;0.20;0.30;0
SCOPe;a;d1bbla_;37;-2.73;0.27;0.89;0
SCOPe;a;d2b0ha1;131;-0.18;0.27;0.91;0
SCOPe;a;d1v74b_;87;3.07;0.39;1.00;0
SCOPe;a;d5d8xa_;156;3.49;0.38;0.95;0
SCOPe;a;d3favb_;72;-0.14;0.22;0.82;0
SCOPe;a;d1eera_;166;1.28;0.33;0.81;0
SCOPe;a;d3uv5a1;121;1.71;0.33;0.94;0
SCOPe;a;d2m9xa1;101;2.83;0.38;0.89;0
SCOPe;a;d2az0a1;70;2.34;0.34;0.93;0
SCOPe;a;d2o4aa2;83;-0.43;0.31;0.78;0
SCOPe;a;d4ggfc_;108;-0.18;0.30;0.78;0
SCOPe;a;d3pn7c_;152;1.37;0.36;0.93;0
SCOPe;a;d4usla_;173;2.07;0.35;0.95;0
SCOPe;a;d2ggza_;165;2.53;0.41;0.98;0
SCOPe;b;d2f1la2;89;2.16;0.37;0.91;0
SCOPe;b;d1xhna1;170;0.14;0.36;0.94;0
SCOPe;b;d3bpka1;199;-0.88;0.33;0.90;0
SCOPe;b;d2toda1;134;1.39;0.41;0.80;0
SCOPe;b;d2iv2x1;151;0.38;0.33;0.81;0
SCOPe;b;d1wi1a1;113;-0.34;0.35;0.83;0
SCOPe;b;d2dfka2;162;1.25;0.36;0.96;0
SCOPe;b;d2rnrb_;108;-1.24;0.31;0.86;0
SCOPe;b;d1gkab_;174;-0.74;0.34;0.80;0
SCOPe;b;d1vpra1;351;-1.92;0.31;0.79;0
SCOPe;b;d2ra6a_;141;0.54;0.35;0.99;0
SCOPe;b;d1ei5a1;82;-1.54;0.29;0.96;0
SCOPe;b;d1zkca1;178;-1.14;0.30;0.78;0
SCOPe;b;d1ms9a2;398;1.05;0.35;0.98;0
SCOPe;b;d1npea_;263;-0.44;0.33;0.76;0
SCOPe;b;d4yvda_;303;0.01;0.34;0.98;0
SCOPe;b;d1avaa1;57;1.18;0.37;0.91;0
SCOPe;b;d2ol7a1;247;-1.41;0.28;0.90;0
SCOPe;b;d1kj1a_;109;-3.23;0.38;0.48;0
SCOPe;b;d2f3la1;132;0.09;0.32;0.86;0
SCOPe;b;d3gvda_;271;0.48;0.34;0.89;0
SCOPe;b;d1l0sa_;88;-2.20;0.27;0.75;0
SCOPe;b;d1zrra_;179;-0.87;0.31;0.97;0
SCOPe;b;d3dl3a1;96;-2.38;0.34;0.68;0
SCOPe;b;d4ku8b_;114;-3.06;0.33;0.69;0
SCOPe;b;d1dcza_;77;-2.22;0.29;0.81;0
SCOPe;b;d3etja1;79;1.44;0.38;0.87;0
SCOPe;b;d2nn6g2;91;-1.77;0.30;0.88;0
SCOPe;b;d2nqra1;84;-1.56;0.31;0.75;0
SCOPe;b;d1ra0a1;103;-2.03;0.33;0.79;0
SCOPe;b;d3ziah1;80;0.21;0.35;0.96;0
SCOPe;b;d2oqza_;220;-0.02;0.36;0.79;0
SCOPe;b;d2guja1;139;-0.48;0.31;0.89;0
SCOPe;b;d1qqp1_;210;-1.38;0.31;0.77;0
SCOPe;b;d1js9c_;189;-1.26;0.32;0.86;0
SCOPe;b;d1v6za1;63;-0.22;0.33;0.79;0
SCOPe;b;d2qjfa1;160;1.36;0.39;0.97;0
SCOPe;b;d2d9ra1;85;3.80;0.41;0.95;0
SCOPe;b;d1o6aa_;87;3.36;0.43;0.94;0
SCOPe;b;d1yu0a1;166;-4.06;0.25;0.65;0
SCOPe;b;d3abza3;172;-1.31;0.31;0.87;0
SCOPe;c;d1vzwa1;239;0.15;0.31;0.97;0
SCOPe;c;d1v5xa_;200;-0.24;0.33;0.87;0
SCOPe;c;d1gjwa2;572;0.40;0.37;0.93;0
SCOPe;c;d1ur4a_;387;-0.85;0.31;0.79;0
SCOPe;c;d2yx6a_;115;1.63;0.38;0.81;0
SCOPe;c;d2guwa_;459;0.73;0.34;0.98;0
SCOPe;c;d1vyra_;363;-2.03;0.29;0.74;0
SCOPe;c;d1bf2a3;475;-0.96;0.30;0.73;0
SCOPe;c;d2v3da2;354;0.46;0.36;0.86;0
SCOPe;c;d1sfsa_;213;0.45;0.36;0.89;0
SCOPe;c;d1sfla_;236;4.47;0.39;1.00;0
SCOPe;c;d1vr6a2;338;0.64;0.36;1.00;0
SCOPe;c;d5c54a_;310;-0.85;0.32;0.86;0
SCOPe;c;d1nfpa_;228;1.21;0.36;0.97;0
SCOPe;c;d1eyea_;270;-0.24;0.33;0.76;0
SCOPe;c;d5dlca_;242;0.46;0.30;0.83;0
SCOPe;c;d1xgka_;350;-0.41;0.34;0.75;0
SCOPe;c;d1ygya1;184;-2.40;0.33;0.66;0
SCOPe;c;d1dlja2;196;0.78;0.38;0.99;0
SCOPe;c;d1iuka_;136;-2.21;0.36;0.75;0
SCOPe;c;d3kzva_;253;2.21;0.38;0.99;0
SCOPe;c;d5u4qa1;334;1.08;0.37;0.93;0
SCOPe;c;d1pj5a2;305;0.29;0.33;0.96;0
SCOPe;c;d1v59a1;233;-0.68;0.33;0.94;0
SCOPe;c;d1w4xa1;298;2.10;0.37;0.97;0
SCOPe;c;d2nlya1;224;0.55;0.34;0.90;0
SCOPe;c;d1k68a_;140;0.40;0.36;0.92;0
SCOPe;c;d2qr3a1;124;2.02;0.40;0.94;0
SCOPe;c;d1ycga1;149;1.42;0.36;0.95;0
SCOPe;c;d2x42a2;280;-0.72;0.33;0.97;0
SCOPe;c;d4y1ra1;170;-0.65;0.32;0.98;0
SCOPe;c;d2cnda2;146;1.09;0.37;0.99;0
SCOPe;c;d1f9aa_;164;1.27;0.39;0.88;0
SCOPe;c;d1zuna1;211;0.11;0.35;0.91;0
SCOPe;c;d3fiua_;244;0.32;0.35;0.87;0
SCOPe;c;d4mlpa1;203;0.69;0.35;0.96;0
SCOPe;c;d4ffbb1;243;0.33;0.33;0.92;0
SCOPe;c;d1qzua_;181;2.50;0.41;1.00;0
SCOPe;c;d2ihta3;199;-0.15;0.33;0.98;0
SCOPe;c;d1wxqa1;319;1.26;0.34;0.94;0
SCOPe;b;d4aw8a_;186;0.20;0.34;0.88;0
SCOPe;b;d2l5pa_;175;-0.67;0.33;0.79;0
SCOPe;b;d2b71a1;169;0.85;0.36;0.98;0
SCOPe;b;d1inva_;390;0.13;0.34;0.90;0
SCOPe;b;d1qbia_;450;-1.79;0.31;0.88;0
SCOPe;b;d2b5la4;315;0.59;0.38;1.00;0
SCOPe;b;d4lgna2;325;-2.69;0.28;0.82;0
SCOPe;b;d1g5aa1;74;-0.16;0.38;0.97;0
SCOPe;b;d3s5ya2;98;2.14;0.37;0.95;0
SCOPe;b;d3lppa3;82;-2.78;0.37;0.91;0
SCOPe;b;d2dk1a1;37;-1.14;0.32;0.89;0
SCOPe;b;d1goia1;52;-1.98;0.37;0.62;0
SCOPe;b;d1qcxa_;359;-1.59;0.32;0.85;0
SCOPe;b;d1vh4a_;413;-0.35;0.31;0.95;0
SCOPe;b;d3t57a_;288;1.03;0.36;0.93;0
SCOPe;b;d1qwra_;315;-1.19;0.34;0.87;0
SCOPe;b;d1xe7a1;193;-1.11;0.35;0.84;0
SCOPe;b;d4rgka1;414;-0.80;0.31;0.94;0
SCOPe;b;d3ar4a2;115;-1.18;0.31;0.83;0
SCOPe;b;d1w96c1;99;0.05;0.31;0.95;0
SCOPe;b;d2qlpa_;161;0.71;0.36;0.96;0
SCOPe;b;d3zeza_;169;-1.51;0.32;0.91;0
SCOPe;b;d1f39a_;101;-2.40;0.35;0.71;0
SCOPe;b;d1tueb1;193;0.56;0.34;0.88;0
SCOPe;b;d2bb0a1;113;0.50;0.37;0.96;0
SCOPe;b;d1z1wa1;170;0.31;0.35;0.90;0
SCOPe;b;d1k28d1;197;2.19;0.39;0.96;0
SCOPe;b;d1tmf1_;276;-1.65;0.34;0.74;0
SCOPe;b;d2bbvc_;344;0.14;0.32;0.90;0
SCOPe;b;d2df7a1;419;1.21;0.36;0.94;0
SCOPe;b;d1ub4c_;75;2.71;0.36;0.96;0
SCOPe;b;d1v76a_;92;-0.07;0.38;0.92;0
SCOPe;b;d2ooja1;133;2.21;0.35;0.98;0
SCOPe;b;d2jn4a1;66;-1.21;0.35;0.92;0
SCOPe;c;d2c3za_;220;2.42;0.38;1.00;0
SCOPe;c;d1vhna1;304;1.69;0.36;1.00;0
SCOPe;c;d1lwha2;391;1.81;0.40;0.91;0
SCOPe;c;d2y24a2;277;0.27;0.34;0.90;0
SCOPe;c;d4hpga_;316;1.23;0.35;0.99;0
SCOPe;c;d2j8fa2;189;0.22;0.37;0.96;0
SCOPe;c;d2imra2;308;-0.81;0.33;0.88;0
SCOPe;c;d3pg8a1;268;0.09;0.35;1.00;0
SCOPe;c;d4ph6a_;249;0.86;0.37;0.84;0
SCOPe;c;d3gd6a2;252;2.84;0.36;1.00;0
SCOPe;c;d2zvia2;287;0.25;0.33;0.84;0
SCOPe;c;d3os4b2;228;2.53;0.37;0.83;0
SCOPe;c;d1l2ra_;457;0.94;0.34;0.95;0
SCOPe;c;d1y1pa1;342;0.42;0.33;0.98;0
SCOPe;c;d1zbqa1;302;0.45;0.33;0.99;0
SCOPe;c;d1t1ra2;125;-0.54;0.34;0.95;0
SCOPe;c;d1qp8a1;181;0.28;0.36;0.92;0
SCOPe;c;d4ogga1;188;-0.07;0.36;0.88;0
SCOPe;c;d1o97d1;192;-1.26;0.35;0.98;0
SCOPe;c;d2bruc_;167;-0.31;0.35;0.82;0
SCOPe;c;d1j2ra_;188;-0.49;0.33;0.74;0
SCOPe;c;d1ovma3;196;0.29;0.35;0.94;0
SCOPe;c;d1w36c1;347;0.07;0.38;0.89;0
SCOPe;c;d1gm5a4;206;2.33;0.40;0.98;0
SCOPe;c;d1l8qa2;213;2.38;0.38;0.88;0
SCOPe;c;d3ea0a1;239;1.60;0.36;0.99;0
SCOPe;c;d2ovba1;266;0.47;0.34;0.91;0
SCOPe;c;d1lara1;317;0.63;0.35;0.99;0
SCOPe;c;d1egra_;85;-0.61;0.33;0.78;0
SCOPe;b;d1rcqa1;131;0.88;0.34;0.90;0
SCOPe;b;d2g5da1;402;-2.18;0.30;0.77;0
SCOPe;b;d1xr0b1;126;-1.30;0.33;0.87;0
SCOPe;b;d4yl8a3;98;0.47;0.40;0.95;0
SCOPe;b;d5c16a1;122;1.59;0.39;0.93;0
SCOPe;b;d1ihga2;195;-1.13;0.31;0.90;0
SCOPe;b;d1x7fa1;117;1.78;0.38;0.99;0
SCOPe;b;d1mdah_;368;-3.66;0.26;0.71;0
SCOPe;b;d1yfqa1;341;1.24;0.38;0.99;0
SCOPe;b;d4iuga2;173;-1.83;0.34;0.94;0
SCOPe;b;d1tk7a1;38;-5.66;0.24;0.37;0
SCOPe;b;d1pcla_;355;-1.20;0.29;0.86;0
SCOPe;b;d1y9qa2;99;0.84;0.38;0.93;0
SCOPe;b;d2q4aa_;327;-1.37;0.34;0.91;0
SCOPe;b;d1ig0a1;96;1.42;0.43;0.98;0
SCOPe;b;d3ourb_;150;1.21;0.36;0.98;0
SCOPe;b;d4o1ra1;140;2.11;0.36;0.94;0
SCOPe;b;d1lkta_;104;-1.34;0.37;0.98;0
SCOPe;b;d2qs8a1;94;0.74;0.38;0.82;0
SCOPe;b;d4qmea1;187;-0.63;0.35;0.97;0
SCOPe;b;d3d37a2;169;-1.16;0.32;0.89;0
SCOPe;b;d1lnla2;101;0.96;0.38;0.76;0
SCOPe;b;d1m3ya1;197;2.20;0.38;0.94;0
SCOPe;b;d5fmos_;194;-0.99;0.36;0.93;0
SCOPe;b;d2casa_;548;-0.98;0.32;0.82;0
SCOPe;b;d1q7ha1;85;-2.46;0.34;0.74;0
SCOPe;b;d1zboa1;197;-0.88;0.36;0.85;0
SCOPe;b;d1n7za_;328;-1.21;0.35;0.82;0
SCOPe;b;d1tsfa_;81;1.44;0.37;0.91;0
SCOPe;b;d2btla1;132;-5.80;0.24;0.40;0
SCOPe;b;d2brja1;174;2.53;0.37;0.84;0
SCOPe;b;d2i2la1;134;2.94;0.40;0.99;0
SCOPe;c;d3vzxa_;227;1.19;0.39;0.99;0
SCOPe;c;d3sr7a_;314;2.85;0.37;0.98;0
SCOPe;c;d1hkva2;265;0.75;0.32;0.94;0
SCOPe;c;d1uuqa_;410;0.40;0.34;0.90;0
SCOPe;c;d4gxpa_;456;0.65;0.36;0.89;0
SCOPe;c;d1tr9a1;328;0.13;0.34;0.91;0
SCOPe;c;d3w25a_;324;0.94;0.36;0.94;0
SCOPe;c;d2f6ka1;306;0.31;0.37;0.96;0
SCOPe;d;d1q15a2;204;-1.20;0.35;0.86;0
SCOPe;d;d2e11a_;265;-0.58;0.35;0.92;0
SCOPe;d;d3ku0a_;251;1.16;0.34;0.98;0
SCOPe;d;d5wtza1;210;1.12;0.32;0.96;0
SCOPe;d;d3e3ua_;196;-2.73;0.32;0.82;0
SCOPe;d;d1dy2a_;168;1.19;0.37;0.99;0
SCOPe;d;d5vyba1;146;0.49;0.38;1.00;0
SCOPe;d;d2a9da2;249;-1.51;0.30;0.92;0
SCOPe;d;d1twfc2;131;1.57;0.37;0.88;0
SCOPe;d;d1q2la2;228;0.02;0.33;0.96;0
SCOPe;d;d4az9a1;102;1.56;0.40;1.00;0
SCOPe;d;d2od0a1;103;-0.30;0.36;0.72;0
SCOPe;d;d1j20a2;225;0.45;0.35;0.99;0
SCOPe;d;d3c5ra2;122;-1.76;0.34;0.74;0
SCOPe;d;d1lg7a_;170;-0.18;0.36;0.87;0
SCOPe;d;d5deca_;195;2.56;0.37;0.97;0
SCOPe;d;d1mk0a_;97;4.00;0.35;0.94;0
SCOPe;d;d1xrsb2;52;0.83;0.37;0.94;0
SCOPe;d;d2i9fa1;56;-0.66;0.29;0.91;0
SCOPe;d;d2atza1;176;0.48;0.35;0.94;0
SCOPe;d;d1i3ja_;96;-0.56;0.32;0.75;0
SCOPe;d;d1vyia_;111;1.20;0.34;0.90;0
SCOPe;d;d2f20a1;231;-1.73;0.34;0.82;0
SCOPe;d;d1vr8a1;130;3.09;0.40;0.95;0
SCOPe;d;d2k7ia1;62;-2.69;0.27;0.65;0
SCOPe;a;d1or4a_;169;2.20;0.38;0.91;0
SCOPe;a;d1urfa1;78;-1.45;0.28;0.82;0
SCOPe;a;d1hj3a1;117;-2.73;0.28;0.70;0
SCOPe;a;d2da6a1;89;-0.87;0.27;0.93;0
SCOPe;a;d2g7sa1;74;2.14;0.32;0.89;0
SCOPe;a;d1rr7a_;94;3.59;0.38;0.95;0
SCOPe;a;d2yuma1;62;-0.68;0.32;0.85;0
SCOPe;a;d1repc2;103;1.28;0.37;0.97;0
SCOPe;a;d4ou0a_;66;1.17;0.32;0.83;0
SCOPe;a;d2pi0a_;106;-1.65;0.29;0.77;0
SCOPe;a;d3vb2a_;136;1.29;0.36;0.96;0
SCOPe;a;d2dt5a1;76;2.54;0.37;0.92;0
SCOPe;a;d2pg4a1;92;1.41;0.38;0.95;0
SCOPe;a;d2ve8a_;67;-1.40;0.30;0.66;0
SCOPe;a;d3bjaa1;138;2.20;0.38;0.96;0
